customer_state,total_orders,delivery_rate_pct,avg_delay_days,avg_review_score,total_revenue
SP,41746,97.0,-11.1,4.17,5202955.05
RJ,12852,96.1,-11.8,3.88,1824092.67
MG,11635,97.6,-13.2,4.14,1585308.03
RS,5466,97.8,-13.9,4.13,750304.02
PR,5045,97.6,-13.3,4.18,683083.76
SC,3637,97.5,-11.5,4.07,520553.34
BA,3380,96.3,-10.8,3.86,511349.99
DF,2140,97.2,-12,4.06,302603.94
ES,2033,98.1,-10.5,4.04,275037.31
GO,2020,96.9,-12.2,4.04,294591.95
PE,1652,96.4,-13.3,4.01,262788.03
CE,1336,95.7,-10.8,3.86,227254.71
PA,975,97.0,-14.1,3.85,178947.81
MT,907,97.7,-14.4,4.1,156453.53
MA,747,96.0,-9.6,3.76,119648.22
